token,log_p_fake,log_p_real,log_odds
garijo,10.3520968907435,9.4089401178251,0.9431567729183996
equo querer,10.325408525518649,9.383670275655476,0.9417382498631728
felix rivero,10.393424321242259,9.452233144867549,0.9411911763747103
bano,9.862826230020364,8.92299760154956,0.9398286284708046
vicepresidenta juan,10.393424321242259,9.453667776232814,0.9397565450094447
generar indignacion,10.393424321242259,9.454616614450169,0.9388077067920904
iniciatiir,10.393424321242259,9.45917258892214,0.9342517323201189
ejecutivo jo,10.393424321242259,9.45989714449333,0.9335271767489282
presidente psoe,10.393424321242259,9.461693026878544,0.9317312943637148
nacional bng,10.393424321242259,9.461976406494394,0.9314479147478654
diana ribar,10.393424321242259,9.462255641135677,0.9311686801065822
portavoz coalicion,10.393424321242259,9.462960619746491,0.9304637014957677
num iniciativo,10.393424321242259,9.463781737720193,0.9296425835220656
pere david,10.393424321242259,9.464464063758902,0.9289602574833573
vargas,10.009767437927712,9.083038339756095,0.9267290981716165
perez garijo,10.351852090849665,9.425757358163931,0.9260947326857334
retar maestre,10.294948920582907,9.370180690085562,0.9247682304973459
pp equo,10.393424321242259,9.47030422321038,0.9231200980318786
rito,9.672865091824105,8.750106405092103,0.9227586867320028
miguel hernandez,10.292673843032208,9.369919035861168,0.9227548071710405
retar,10.167733761645351,9.252192833469842,0.9155409281755098
cristinar narbona,10.393424321242259,9.479865877654015,0.9135584435882436
jordi,8.599653449993657,7.686553775497228,0.9130996744964284
equo madrid,10.393424321242259,9.481399249769995,0.9120250714722644
eva granado,10.315871281719302,9.40461966947254,0.9112516122467618
perez jacome,10.17756729600118,9.266593005692652,0.9109742903085287
pacto equo,10.393424321242259,9.484100025551863,0.9093242956903964
rodriguez ribo,10.393424321242259,9.485760818476962,0.9076635027652973
gobierno carlos,10.376302958425015,9.472238280668028,0.9040646777569865
narbona monico,10.393424321242259,9.490047406125477,0.9033769151167821
ionir francisco,10.393424321242259,9.491283703620288,0.9021406176219706
eajpnv pedir,10.393424321242259,9.491841748141761,0.901582573100498
gandio arturo,10.393424321242259,9.492685174587788,0.9007391466544714
direccion equo,10.393424321242259,9.492694160566337,0.9007301606759217
catalunya iniciativo,10.393424321242259,9.493548930123195,0.899875391119064
voto equo,10.393424321242259,9.494653328717614,0.8987709925246445
echenique,9.101361313250242,8.203919603271205,0.8974417099790379
zerolo,10.20980637750719,9.312456249229694,0.8973501282774965
jenner,10.393424321242259,9.499759529348612,0.8936647918936469
narcis serra,10.393424321242259,9.501721852665073,0.8917024685771864
cristinar,10.314652022297283,9.424949326926638,0.8897026953706444
jorge ignacio,10.393424321242259,9.504121556289665,0.8893027649525944
generar fuerte,10.329842827136419,9.440641987777944,0.8892008393584749
candidato canarias,10.393424321242259,9.505002035941718,0.8884222853005408
manuel gerena,10.327616033573225,9.44144296904248,0.8861730645307446
gerena,10.327616033573225,9.44144296904248,0.8861730645307446
mata,9.702145815854005,8.818135201562376,0.8840106142916291
caja iniciativo,10.393424321242259,9.510054327455792,0.8833699937864665
num eajpnv,10.393424321242259,9.514474751538131,0.8789495697041279
