token,importance,mean_frequency,normalized_importance
num unidas,6.54631303238603e-06,0.0003576310066369257,0.01830460616191985
municipal ciudad,1.3972427054570652e-07,7.639358157625859e-06,0.018287659774986777
num cementerio,1.0894285297081311e-06,5.958117259868006e-05,0.018284471381163857
homenajear,1.429577331870988e-06,7.820671446529991e-05,0.018279236794539994
lopez secretaria,6.386388861004985e-07,3.4946533420946134e-05,0.018274219196188657
rueda prensa,1.5342906223847154e-05,0.0008406225537135471,0.018251815757562555
uu,3.8303288478589823e-07,2.0985704533640246e-05,0.01825121634375339
existencia,1.0250430480309365e-05,0.0005617573069013962,0.018247047447949163
participacion num,1.931130224202902e-06,0.00010586132830060475,0.018241902055274088
construccion,1.2170573875098589e-05,0.0006674473877531971,0.018234479397077983
candidata pp,5.3816502885590135e-06,0.00029514478751072797,0.0182338712469796
recaudar,2.5716516816696764e-06,0.0001410678128417324,0.01822976765640509
publico desvelo,9.647721937270045e-07,5.2929456940567274e-05,0.018227165407060333
candidata vox,1.4993339344372785e-06,8.227954030749189e-05,0.018222217900296888
correspondiente,2.7509577123257633e-06,0.00015109956117098254,0.018206138289670756
garcia adanero,7.391801122732936e-07,4.064373551162944e-05,0.01818636787688768
solidaridad,7.1659521978072374e-06,0.0003942762717693908,0.018174905608047673
num manana,2.1237886952367504e-06,0.00011691967824046064,0.018164354904518582
mayoral,1.927342004537208e-06,0.00010614452235308767,0.01815754411312804
secretaria pp,4.303436699035123e-06,0.00023705047691465964,0.018154017663363445
ministro sanidad,9.87828705385712e-06,0.0005442521397026642,0.018150170083086364
aprobado gobierno,1.1028474963248386e-06,6.077178177677031e-05,0.01814706294630056
turistico,2.2461768515481736e-06,0.00012379459930663824,0.018144238277682686
lograr num,1.1491241130949412e-06,6.337022114594121e-05,0.018133217134139762
respuesta pregunta,9.457909533393428e-07,5.2185013331756254e-05,0.01812345670719801
ensenanza,4.022370429294586e-06,0.00022196322350405176,0.018121706128110152
ningun delito,1.105272899028805e-06,6.100886665780677e-05,0.01811629756917974
actitud,1.1826302586487704e-05,0.0006529195640794099,0.018112927111067923
adquisitivo,3.4863311842328634e-06,0.00019250012323694337,0.018110705670749006
debate politica,1.0188573446365933e-06,5.626373492614015e-05,0.01810827592050452
youtuber,1.0549774347081917e-06,5.830523875101626e-05,0.018093731602431714
penalva,8.960833709377737e-07,4.957233957244981e-05,0.018075912953739524
pleno jueves,2.7256289603664e-06,0.00015081881006936073,0.0180720885347416
pazo,3.067541566780998e-06,0.0001697801678729054,0.018067619661311877
pedro rollan,1.903466571716822e-06,0.00010538494444524152,0.018061863768805166
supuestamente,1.0702969109845661e-05,0.0005931309502379522,0.01804483657565884
independientemente,1.6859676035587177e-06,9.346797011074643e-05,0.0180377252639149
coordinador mes,4.2144189522204904e-07,2.3368992204139556e-05,0.0180334632352765
mentir,3.410920065318911e-06,0.00018914525675630067,0.018033241174387076
investigacion master,8.737301140082924e-07,4.8467754133531455e-05,0.018026667481511185
convocatoria electoral,3.1725309609196145e-06,0.00017606583870266024,0.018018901141726926
nadia calvino,4.700246899107935e-06,0.00026088742939934465,0.018016310305250135
departamento dirigido,1.10476458323937e-06,6.13219064061455e-05,0.018015528747487016
zed,1.0388454195087142e-06,5.7664243204601744e-05,0.01801510514440722
exministro franquista,1.2036699737277021e-06,6.68322827651455e-05,0.01801003817151165
diputado congreso,9.810282634314571e-07,5.4472598562850926e-05,0.018009242813278793
alberto perez,6.365761133795932e-07,3.534859164321123e-05,0.01800801887061814
bogota,1.4565902093106103e-06,8.094863759075582e-05,0.01799378295767624
ministra yolanda,2.257810885444734e-06,0.00012550305079643876,0.017989944317469
ciudad valencia,1.0865578073817445e-06,6.039841247575086e-05,0.017989542660170336
garcia lorca,1.0264527310438848e-06,5.7130826282544756e-05,0.017966391026388254
defendio,5.466309984698342e-06,0.000304357580254876,0.017960098184584588
grado,9.440207070642066e-06,0.0005257429100878368,0.017955903795566316
proximos num,2.437104242108502e-06,0.00013580384680248226,0.01794563522208514
gratuito,1.1489392887918055e-06,6.402797455591564e-05,0.017944052622433492
examante,1.942819913834036e-06,0.00010829905067449637,0.017939233654408176
vincular,1.801360325006702e-06,0.00010044376382943698,0.017933840016444776
confrontar,3.1938391488367253e-06,0.00017813278637229452,0.017929440640540212
exministra sanidad,8.493963081020904e-07,4.7424936013171836e-05,0.017909953487606094
reforma sede,2.1411845101980523e-06,0.00011972208032567695,0.017884475611331507
conducta,3.877946657401917e-06,0.00021689921154870054,0.017878943638241693
electrica,2.2578303450007666e-06,0.00012631585212972442,0.017874339859910604
exdirector,6.3502711590660915e-06,0.0003553042979524732,0.017872717338190448
auge,6.52816626538081e-06,0.0003652901838100582,0.01787113008666337
vinculo,1.9491413413131706e-06,0.00010909150842873801,0.017866867023104516
francia,9.202160668027278e-06,0.0005151868273869228,0.017861758719536196
testigo expresidente,1.9391092842493782e-07,1.086678521597464e-05,0.017842727342449377
vicepresidente comunidad,1.8547445154308482e-06,0.0001040119695370389,0.01783185812006238
botella agua,1.4774657826190887e-07,8.28690674782287e-06,0.01782676648729428
sanchez aseguro,6.302320277527892e-07,3.5353834949948196e-05,0.01782590779012285
ajustado,1.7373223742491943e-06,9.746005630831326e-05,0.01782581104757638
militancia formacion,4.993874826593036e-07,2.804617730625786e-05,0.017805267075766684
caso villarejo,4.9211185587440405e-06,0.0002765127174572961,0.017797014209626115
presidente andaluz,4.3255828939217525e-06,0.00024336999349093344,0.017773617274085288
adjunto unidas,2.8989507658282617e-07,1.6311960057334647e-05,0.017770844504243318
cruz llegar,1.075021761926523e-07,6.0529188747120555e-06,0.01775745239033542
iuriscontencia sl,6.89072306862633e-07,3.8813139547043215e-05,0.017753125920193822
num enero,1.4731867149913592e-05,0.000830431814802312,0.01773998677234422
genero,2.580593981875332e-05,0.0014547071128014064,0.01773959984938662
balcon,1.9932817596136254e-06,0.00011248542919373923,0.01772019766207111
garantizar igualdad,1.826701845577191e-06,0.00010325172196329463,0.017691561160262353
ejecutivo psoe,1.1657950957244243e-06,6.590000761005275e-05,0.017690095159434104
disposicion,9.832235907550457e-06,0.0005559361490003417,0.017685876767239407
irregular,7.938325026908033e-06,0.00044983407679767133,0.01764718990662119
exsecretario,5.709444371260026e-06,0.00032364176985339035,0.017641192398169112
tutela,2.745532495652645e-06,0.00015573465953606122,0.017629440192641982
presidente govern,6.539150837426762e-07,3.710083751518569e-05,0.017624870559983193
terremoto,2.4275785266540954e-06,0.00013775235298605287,0.017622645649139887
instancia num,9.9846381819848e-07,5.669353715912918e-05,0.017611287934073967
flexibilizar,2.164414481318024e-06,0.00012293581142795428,0.017605910354901753
nacio,3.684382865820741e-06,0.0002094391730432699,0.01759157668886931
alcalde ciudad,2.8373939389142615e-06,0.00016142672720633364,0.017576868534409595
profesor,3.907931841966759e-06,0.00022239429440674627,0.01757200777287765
acudio,7.1320138556053436e-06,0.00040637126811502014,0.017550444297509713
poderoso,3.6030437489633953e-07,2.0537572344013898e-05,0.017542814995188925
consejero sanidad,3.198586396156688e-06,0.0001823963718753299,0.01753636230210021
apelacion,4.692823068325407e-06,0.0002684015846815327,0.017484269288589656
